clusters_sub	cell_types
ASGR1pos310_7_52	11	Hepatocytes
ASGR1pos310_7_54	11	Hepatocytes
ASGR1pos310_7_56	11	Hepatocytes
ASGR1pos310_7_57	11	Hepatocytes
ASGR1pos310_7_58	11	Hepatocytes
ASGR1pos310_7_59	11	Hepatocytes
ASGR1pos310_7_60	11	Hepatocytes
ASGR1pos310_7_61	11	Hepatocytes
ASGR1pos310_7_62	11	Hepatocytes
ASGR1pos310_7_63	11	Hepatocytes
ASGR1pos310_7_64	11	Hepatocytes
ASGR1pos310_7_65	11	Hepatocytes
ASGR1pos310_7_67	11	Hepatocytes
ASGR1pos310_7_68	11	Hepatocytes
ASGR1pos310_7_71	11	Hepatocytes
ASGR1pos310_7_73	11	Hepatocytes
ASGR1pos310_7_76	11	Hepatocytes
ASGR1pos310_7_80	11	Hepatocytes
ASGR1pos310_7_81	11	Hepatocytes
ASGR1pos310_7_83	11	Hepatocytes
ASGR1pos310_7_85	11	Hepatocytes
ASGR1pos310_7_87	11	Hepatocytes
ASGR1pos310_7_88	17	Hepatocytes
ASGR1pos310_7_92	11	Hepatocytes
ASGR1pos310_7_93	11	Hepatocytes
ASGR1pos310_7_94	11	Hepatocytes
ASGR1pos310_7_95	11	Hepatocytes
ASGR1pos310_8_98	11	Hepatocytes
ASGR1pos310_8_100	11	Hepatocytes
ASGR1pos310_8_102	11	Hepatocytes
ASGR1pos310_8_104	11	Hepatocytes
ASGR1pos310_8_107	11	Hepatocytes
ASGR1pos310_8_110	11	Hepatocytes
ASGR1pos310_8_115	11	Hepatocytes
ASGR1pos310_8_117	11	Hepatocytes
ASGR1pos310_8_118	11	Hepatocytes
ASGR1pos310_8_119	11	Hepatocytes
ASGR1pos310_8_124	11	Hepatocytes
ASGR1pos310_8_125	11	Hepatocytes
ASGR1pos310_8_129	11	Hepatocytes
ASGR1pos310_8_130	11	Hepatocytes
ASGR1pos310_8_132	11	Hepatocytes
ASGR1pos310_8_134	11	Hepatocytes
ASGR1pos310_8_135	14	Hepatocytes
ASGR1pos310_8_141	11	Hepatocytes
ASGR1pos310_8_143	11	Hepatocytes
ASGR1pos310_8_145	11	Hepatocytes
ASGR1pos310_8_151	11	Hepatocytes
ASGR1pos310_8_153	11	Hepatocytes
ASGR1pos310_8_154	11	Hepatocytes
ASGR1pos310_8_156	11	Hepatocytes
ASGR1pos310_8_157	11	Hepatocytes
ASGR1pos310_8_164	11	Hepatocytes
ASGR1pos310_8_170	11	Hepatocytes
ASGR1pos310_8_175	11	Hepatocytes
ASGR1pos310_8_179	11	Hepatocytes
ASGR1pos310_8_182	11	Hepatocytes
ASGR1pos310_8_183	11	Hepatocytes
ASGR1pos310_8_185	11	Hepatocytes
ASGR1pos310_8_187	11	Hepatocytes
ASGR1pos310_8_189	11	Hepatocytes
ASGR1pos310_8_190	11	Hepatocytes
ASGR1pos315_1_25	14	Hepatocytes
ASGR1pos315_1_28	11	Hepatocytes
ASGR1pos315_1_36	14	Hepatocytes
ASGR1pos315_1_39	14	Hepatocytes
ASGR1pos315_1_48	14	Hepatocytes
ASGR1pos315_1_54	11	Hepatocytes
ASGR1pos315_1_60	11	Hepatocytes
ASGR1pos315_1_62	14	Hepatocytes
ASGR1pos315_1_67	4	EPCAM+
ASGR1pos315_1_71	11	Hepatocytes
ASGR1pos315_1_81	14	Hepatocytes
ASGR1pos315_2_98	13	LSEC
ASGR1pos315_2_106	14	Hepatocytes
ASGR1pos315_2_111	14	Hepatocytes
ASGR1pos315_2_129	14	Hepatocytes
ASGR1pos315_2_135	14	Hepatocytes
ASGR1pos315_2_159	11	Hepatocytes
ASGR1pos315_2_162	13	LSEC
ASGR1pos315_2_164	14	Hepatocytes
